Model,type,Persona,persona_index,Persona_Content,temp,run,openeness,consciencienes,extraversion,agreeableness,neuroticism,self_regulation,CCT_cold_avg
llama3.1-405b,instruct-lg,self-regulation3,3,"Adopt to the identity of disciplined, organized, focused. Answer the questions while staying in strict accordance with the nature of this identity.",1,2,2.6,5,2.62,4.11,1.12,265.23,17.33333333
llama3.1-405b,instruct-lg,self-regulation3,3,"Adopt to the identity of disciplined, organized, focused. Answer the questions while staying in strict accordance with the nature of this identity.",1,3,3,5,3.25,4.11,1.5,270.9,16.37037037
meta-llama/Llama-3.3-70B-Instruct-Turbo,instruct-lg,self-regulation3,1,"Adopt to the identity of disciplined, persistent, goal-oriented. Answer the questions while staying in strict accordance with the nature of this identity.",0.3,1,2.6,5,3.5,3.33,2,279.72,28.81481481
meta-llama/Llama-3.3-70B-Instruct-Turbo,instruct-lg,self-regulation3,1,"Adopt to the identity of disciplined, persistent, goal-oriented. Answer the questions while staying in strict accordance with the nature of this identity.",0.3,2,2.9,5,3.5,3.22,2,279.72,29
meta-llama/Llama-3.3-70B-Instruct-Turbo,instruct-lg,self-regulation3,1,"Adopt to the identity of disciplined, persistent, goal-oriented. Answer the questions while staying in strict accordance with the nature of this identity.",0.3,3,2.5,5,3.5,3.33,2,280.98,28.81481481
meta-llama/Llama-3.3-70B-Instruct-Turbo,instruct-lg,self-regulation3,1,"Adopt to the identity of disciplined, persistent, goal-oriented. Answer the questions while staying in strict accordance with the nature of this identity.",0.7,1,2.9,5,3.5,3.11,2,282.24,29
meta-llama/Llama-3.3-70B-Instruct-Turbo,instruct-lg,self-regulation3,1,"Adopt to the identity of disciplined, persistent, goal-oriented. Answer the questions while staying in strict accordance with the nature of this identity.",0.7,2,2.6,5,3.5,3.33,2,279.09,28.62962963
meta-llama/Llama-3.3-70B-Instruct-Turbo,instruct-lg,self-regulation3,1,"Adopt to the identity of disciplined, persistent, goal-oriented. Answer the questions while staying in strict accordance with the nature of this identity.",0.7,3,2.8,5,3.5,3.33,2,279.72,28.88888889
meta-llama/Llama-3.3-70B-Instruct-Turbo,instruct-lg,self-regulation3,1,"Adopt to the identity of disciplined, persistent, goal-oriented. Answer the questions while staying in strict accordance with the nature of this identity.",1,1,2.7,5,3.5,3.44,2,277.83,28.96296296
meta-llama/Llama-3.3-70B-Instruct-Turbo,instruct-lg,self-regulation3,1,"Adopt to the identity of disciplined, persistent, goal-oriented. Answer the questions while staying in strict accordance with the nature of this identity.",1,2,3,5,3.5,3.22,1.88,280.98,28.85185185
meta-llama/Llama-3.3-70B-Instruct-Turbo,instruct-lg,self-regulation3,1,"Adopt to the identity of disciplined, persistent, goal-oriented. Answer the questions while staying in strict accordance with the nature of this identity.",1,3,2.6,5,3.5,3.22,2,280.98,28.77777778
meta-llama/Llama-3.3-70B-Instruct-Turbo,instruct-lg,self-regulation3,2,"Adopt to the identity of disciplined, goal-oriented, focused. Answer the questions while staying in strict accordance with the nature of this identity.",0.3,1,2.3,5,3.12,3,2,279.09,28.81481481
meta-llama/Llama-3.3-70B-Instruct-Turbo,instruct-lg,self-regulation3,2,"Adopt to the identity of disciplined, goal-oriented, focused. Answer the questions while staying in strict accordance with the nature of this identity.",0.3,2,2.3,5,3.5,3,2,279.09,29
meta-llama/Llama-3.3-70B-Instruct-Turbo,instruct-lg,self-regulation3,2,"Adopt to the identity of disciplined, goal-oriented, focused. Answer the questions while staying in strict accordance with the nature of this identity.",0.3,3,2.3,5,3,3,2,279.72,29
meta-llama/Llama-3.3-70B-Instruct-Turbo,instruct-lg,self-regulation3,2,"Adopt to the identity of disciplined, goal-oriented, focused. Answer the questions while staying in strict accordance with the nature of this identity.",0.7,1,2.2,5,3.38,3,2,279.09,28.59259259
meta-llama/Llama-3.3-70B-Instruct-Turbo,instruct-lg,self-regulation3,2,"Adopt to the identity of disciplined, goal-oriented, focused. Answer the questions while staying in strict accordance with the nature of this identity.",0.7,2,2.3,5,3.38,3,2,279.72,28.62962963
meta-llama/Llama-3.3-70B-Instruct-Turbo,instruct-lg,self-regulation3,2,"Adopt to the identity of disciplined, goal-oriented, focused. Answer the questions while staying in strict accordance with the nature of this identity.",0.7,3,2.3,5,3,3,2,279.09,28.81481481
meta-llama/Llama-3.3-70B-Instruct-Turbo,instruct-lg,self-regulation3,2,"Adopt to the identity of disciplined, goal-oriented, focused. Answer the questions while staying in strict accordance with the nature of this identity.",1,1,2.3,5,3,3,2,279.09,28.81481481
meta-llama/Llama-3.3-70B-Instruct-Turbo,instruct-lg,self-regulation3,2,"Adopt to the identity of disciplined, goal-oriented, focused. Answer the questions while staying in strict accordance with the nature of this identity.",1,2,2.5,5,3.5,3,2,279.72,28.55555556
meta-llama/Llama-3.3-70B-Instruct-Turbo,instruct-lg,self-regulation3,2,"Adopt to the identity of disciplined, goal-oriented, focused. Answer the questions while staying in strict accordance with the nature of this identity.",1,3,2.3,5,3,3,2,279.09,28.7037037
meta-llama/Llama-3.3-70B-Instruct-Turbo,instruct-lg,self-regulation3,3,"Adopt to the identity of disciplined, organized, focused. Answer the questions while staying in strict accordance with the nature of this identity.",0.3,1,2.2,5,2.38,3.56,1.5,282.24,28.62962963
meta-llama/Llama-3.3-70B-Instruct-Turbo,instruct-lg,self-regulation3,3,"Adopt to the identity of disciplined, organized, focused. Answer the questions while staying in strict accordance with the nature of this identity.",0.3,2,2.2,5,2.62,3.33,1.5,282.24,28.55555556
meta-llama/Llama-3.3-70B-Instruct-Turbo,instruct-lg,self-regulation3,3,"Adopt to the identity of disciplined, organized, focused. Answer the questions while staying in strict accordance with the nature of this identity.",0.3,3,2.1,5,2.5,3.56,1.5,282.24,28.44444444
meta-llama/Llama-3.3-70B-Instruct-Turbo,instruct-lg,self-regulation3,3,"Adopt to the identity of disciplined, organized, focused. Answer the questions while staying in strict accordance with the nature of this identity.",0.7,1,2.2,5,2.75,3.44,1.5,282.24,28.85185185
meta-llama/Llama-3.3-70B-Instruct-Turbo,instruct-lg,self-regulation3,3,"Adopt to the identity of disciplined, organized, focused. Answer the questions while staying in strict accordance with the nature of this identity.",0.7,2,2.1,5,2.5,3.56,1.5,282.24,28.62962963
meta-llama/Llama-3.3-70B-Instruct-Turbo,instruct-lg,self-regulation3,3,"Adopt to the identity of disciplined, organized, focused. Answer the questions while staying in strict accordance with the nature of this identity.",0.7,3,2,5,2.5,3.44,1.5,282.24,28.48148148
meta-llama/Llama-3.3-70B-Instruct-Turbo,instruct-lg,self-regulation3,3,"Adopt to the identity of disciplined, organized, focused. Answer the questions while staying in strict accordance with the nature of this identity.",1,1,2.1,5,2.38,3.44,1.5,282.87,28.25925926
meta-llama/Llama-3.3-70B-Instruct-Turbo,instruct-lg,self-regulation3,3,"Adopt to the identity of disciplined, organized, focused. Answer the questions while staying in strict accordance with the nature of this identity.",1,2,2,5,2.38,3.44,1.5,280.98,28.48148148
meta-llama/Llama-3.3-70B-Instruct-Turbo,instruct-lg,self-regulation3,3,"Adopt to the identity of disciplined, organized, focused. Answer the questions while staying in strict accordance with the nature of this identity.",1,3,1.9,5,2.75,3.78,1.5,282.87,28.66666667
Qwen/Qwen2.5-72B-Instruct-Turbo,instruct-lg,self-regulation3,1,"Adopt to the identity of disciplined, persistent, goal-oriented. Answer the questions while staying in strict accordance with the nature of this identity.",0.3,1,4.5,5,4.38,4.67,1.25,279.72,22.33333333
Qwen/Qwen2.5-72B-Instruct-Turbo,instruct-lg,self-regulation3,1,"Adopt to the identity of disciplined, persistent, goal-oriented. Answer the questions while staying in strict accordance with the nature of this identity.",0.3,2,4.5,5,4.38,4.56,1.25,277.83,21.59259259
Qwen/Qwen2.5-72B-Instruct-Turbo,instruct-lg,self-regulation3,1,"Adopt to the identity of disciplined, persistent, goal-oriented. Answer the questions while staying in strict accordance with the nature of this identity.",0.3,3,4.5,5,4.38,4.56,1.25,279.72,21.40740741
Qwen/Qwen2.5-72B-Instruct-Turbo,instruct-lg,self-regulation3,1,"Adopt to the identity of disciplined, persistent, goal-oriented. Answer the questions while staying in strict accordance with the nature of this identity.",0.7,1,4.4,5,4.38,4.67,1.25,279.09,21.44444444
Qwen/Qwen2.5-72B-Instruct-Turbo,instruct-lg,self-regulation3,1,"Adopt to the identity of disciplined, persistent, goal-oriented. Answer the questions while staying in strict accordance with the nature of this identity.",0.7,2,4.5,5,4.25,4.44,1.12,279.09,21.33333333
Qwen/Qwen2.5-72B-Instruct-Turbo,instruct-lg,self-regulation3,1,"Adopt to the identity of disciplined, persistent, goal-oriented. Answer the questions while staying in strict accordance with the nature of this identity.",0.7,3,4.5,5,4.38,4.67,1.25,282.24,22.7037037
Qwen/Qwen2.5-72B-Instruct-Turbo,instruct-lg,self-regulation3,1,"Adopt to the identity of disciplined, persistent, goal-oriented. Answer the questions while staying in strict accordance with the nature of this identity.",1,1,4.4,5,4.38,4.56,1.12,279.09,22.22222222
Qwen/Qwen2.5-72B-Instruct-Turbo,instruct-lg,self-regulation3,1,"Adopt to the identity of disciplined, persistent, goal-oriented. Answer the questions while staying in strict accordance with the nature of this identity.",1,2,4.4,5,4.25,4.44,1.12,279.72,21.92592593
Qwen/Qwen2.5-72B-Instruct-Turbo,instruct-lg,self-regulation3,1,"Adopt to the identity of disciplined, persistent, goal-oriented. Answer the questions while staying in strict accordance with the nature of this identity.",1,3,4.6,5,4.38,4.78,1.38,279.09,20.14814815
Qwen/Qwen2.5-72B-Instruct-Turbo,instruct-lg,self-regulation3,2,"Adopt to the identity of disciplined, goal-oriented, focused. Answer the questions while staying in strict accordance with the nature of this identity.",0.3,1,4.5,5,4,4.56,1.12,279.09,22.14814815
Qwen/Qwen2.5-72B-Instruct-Turbo,instruct-lg,self-regulation3,2,"Adopt to the identity of disciplined, goal-oriented, focused. Answer the questions while staying in strict accordance with the nature of this identity.",0.3,2,4.5,5,3.88,4.56,1.12,282.24,19.37037037
Qwen/Qwen2.5-72B-Instruct-Turbo,instruct-lg,self-regulation3,2,"Adopt to the identity of disciplined, goal-oriented, focused. Answer the questions while staying in strict accordance with the nature of this identity.",0.3,3,4.4,5,3.88,4.56,1.12,279.09,21.55555556
Qwen/Qwen2.5-72B-Instruct-Turbo,instruct-lg,self-regulation3,2,"Adopt to the identity of disciplined, goal-oriented, focused. Answer the questions while staying in strict accordance with the nature of this identity.",0.7,1,4.5,5,3.88,4.44,1.12,275.94,21.7037037
Qwen/Qwen2.5-72B-Instruct-Turbo,instruct-lg,self-regulation3,2,"Adopt to the identity of disciplined, goal-oriented, focused. Answer the questions while staying in strict accordance with the nature of this identity.",0.7,2,4.6,5,3.88,4.56,1.25,277.2,20.92592593
Qwen/Qwen2.5-72B-Instruct-Turbo,instruct-lg,self-regulation3,2,"Adopt to the identity of disciplined, goal-oriented, focused. Answer the questions while staying in strict accordance with the nature of this identity.",0.7,3,4.5,5,3.88,4.56,1.12,277.2,20.66666667
Qwen/Qwen2.5-72B-Instruct-Turbo,instruct-lg,self-regulation3,2,"Adopt to the identity of disciplined, goal-oriented, focused. Answer the questions while staying in strict accordance with the nature of this identity.",1,1,4.5,5,4.12,4.56,1.38,279.09,18.85185185
Qwen/Qwen2.5-72B-Instruct-Turbo,instruct-lg,self-regulation3,2,"Adopt to the identity of disciplined, goal-oriented, focused. Answer the questions while staying in strict accordance with the nature of this identity.",1,2,4.5,5,4.25,4.44,1.25,275.31,19.62962963
Qwen/Qwen2.5-72B-Instruct-Turbo,instruct-lg,self-regulation3,2,"Adopt to the identity of disciplined, goal-oriented, focused. Answer the questions while staying in strict accordance with the nature of this identity.",1,3,4.5,5,4,4.44,1.25,279.09,20.55555556
Qwen/Qwen2.5-72B-Instruct-Turbo,instruct-lg,self-regulation3,3,"Adopt to the identity of disciplined, organized, focused. Answer the questions while staying in strict accordance with the nature of this identity.",0.3,1,4.4,5,3.75,4.44,1.38,277.2,20.48148148
Qwen/Qwen2.5-72B-Instruct-Turbo,instruct-lg,self-regulation3,3,"Adopt to the identity of disciplined, organized, focused. Answer the questions while staying in strict accordance with the nature of this identity.",0.3,2,4.5,5,3.62,4.56,1.25,275.94,19.62962963
Qwen/Qwen2.5-72B-Instruct-Turbo,instruct-lg,self-regulation3,3,"Adopt to the identity of disciplined, organized, focused. Answer the questions while staying in strict accordance with the nature of this identity.",0.3,3,4.6,5,3.75,4.56,1.38,275.31,21.03703704
Qwen/Qwen2.5-72B-Instruct-Turbo,instruct-lg,self-regulation3,3,"Adopt to the identity of disciplined, organized, focused. Answer the questions while staying in strict accordance with the nature of this identity.",0.7,1,4.4,5,3.5,4.44,1.38,279.09,22.14814815
Qwen/Qwen2.5-72B-Instruct-Turbo,instruct-lg,self-regulation3,3,"Adopt to the identity of disciplined, organized, focused. Answer the questions while staying in strict accordance with the nature of this identity.",0.7,2,4.4,5,3.88,4.56,1.5,275.31,21.37037037
Qwen/Qwen2.5-72B-Instruct-Turbo,instruct-lg,self-regulation3,3,"Adopt to the identity of disciplined, organized, focused. Answer the questions while staying in strict accordance with the nature of this identity.",0.7,3,4.4,5,3.75,4.56,1.38,277.83,22.2962963
Qwen/Qwen2.5-72B-Instruct-Turbo,instruct-lg,self-regulation3,3,"Adopt to the identity of disciplined, organized, focused. Answer the questions while staying in strict accordance with the nature of this identity.",1,1,4.6,5,3.62,4.44,1.25,275.31,18.85185185
Qwen/Qwen2.5-72B-Instruct-Turbo,instruct-lg,self-regulation3,3,"Adopt to the identity of disciplined, organized, focused. Answer the questions while staying in strict accordance with the nature of this identity.",1,2,4,5,3.88,4.56,1.25,279.09,19.03703704
Qwen/Qwen2.5-72B-Instruct-Turbo,instruct-lg,self-regulation3,3,"Adopt to the identity of disciplined, organized, focused. Answer the questions while staying in strict accordance with the nature of this identity.",1,3,4.2,5,3.62,4.56,1.5,275.31,21.48148148
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,instruct-lg,self-regulation3,1,"Adopt to the identity of disciplined, persistent, goal-oriented. Answer the questions while staying in strict accordance with the nature of this identity.",0.3,1,3.4,5,3,4.22,1.5,275.31,16.37037037
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,instruct-lg,self-regulation3,1,"Adopt to the identity of disciplined, persistent, goal-oriented. Answer the questions while staying in strict accordance with the nature of this identity.",0.3,2,3.6,5,3.12,4.33,1.5,277.2,15.59259259
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,instruct-lg,self-regulation3,1,"Adopt to the identity of disciplined, persistent, goal-oriented. Answer the questions while staying in strict accordance with the nature of this identity.",0.3,3,3.2,5,3.12,4.33,1.5,275.94,16.59259259
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,instruct-lg,self-regulation3,1,"Adopt to the identity of disciplined, persistent, goal-oriented. Answer the questions while staying in strict accordance with the nature of this identity.",0.7,1,3.5,5,3.12,4.22,1.5,274.05,16.40740741
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,instruct-lg,self-regulation3,1,"Adopt to the identity of disciplined, persistent, goal-oriented. Answer the questions while staying in strict accordance with the nature of this identity.",0.7,2,3.6,5,3.25,4.22,1.5,277.2,15.37037037
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,instruct-lg,self-regulation3,1,"Adopt to the identity of disciplined, persistent, goal-oriented. Answer the questions while staying in strict accordance with the nature of this identity.",0.7,3,3.4,5,3.25,4.33,1.62,275.94,16.03703704
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,instruct-lg,self-regulation3,1,"Adopt to the identity of disciplined, persistent, goal-oriented. Answer the questions while staying in strict accordance with the nature of this identity.",1,1,3.7,5,3.12,4.33,1.5,274.05,15.40740741
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,instruct-lg,self-regulation3,1,"Adopt to the identity of disciplined, persistent, goal-oriented. Answer the questions while staying in strict accordance with the nature of this identity.",1,2,3.7,5,3,4.33,1.62,275.31,15.33333333
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,instruct-lg,self-regulation3,1,"Adopt to the identity of disciplined, persistent, goal-oriented. Answer the questions while staying in strict accordance with the nature of this identity.",1,3,3.5,5,3.25,4.33,1.5,274.05,16.59259259
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,instruct-lg,self-regulation3,2,"Adopt to the identity of disciplined, goal-oriented, focused. Answer the questions while staying in strict accordance with the nature of this identity.",0.3,1,3.5,5,3,4.44,1.5,275.94,17.55555556
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,instruct-lg,self-regulation3,2,"Adopt to the identity of disciplined, goal-oriented, focused. Answer the questions while staying in strict accordance with the nature of this identity.",0.3,2,3.5,5,3.12,4.33,1.5,275.31,17.44444444
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,instruct-lg,self-regulation3,2,"Adopt to the identity of disciplined, goal-oriented, focused. Answer the questions while staying in strict accordance with the nature of this identity.",0.3,3,3.6,5,3.12,4.22,1.5,275.94,16.33333333
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,instruct-lg,self-regulation3,2,"Adopt to the identity of disciplined, goal-oriented, focused. Answer the questions while staying in strict accordance with the nature of this identity.",0.7,1,3.7,5,3.12,4.22,1.38,277.2,14.51851852
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,instruct-lg,self-regulation3,2,"Adopt to the identity of disciplined, goal-oriented, focused. Answer the questions while staying in strict accordance with the nature of this identity.",0.7,2,3.4,5,3,4.33,1.38,275.94,16
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,instruct-lg,self-regulation3,2,"Adopt to the identity of disciplined, goal-oriented, focused. Answer the questions while staying in strict accordance with the nature of this identity.",0.7,3,3.3,5,3,4.33,1.38,277.2,14.7037037
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,instruct-lg,self-regulation3,2,"Adopt to the identity of disciplined, goal-oriented, focused. Answer the questions while staying in strict accordance with the nature of this identity.",1,1,3.4,5,2.75,4.56,1.5,275.94,16.92592593
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,instruct-lg,self-regulation3,2,"Adopt to the identity of disciplined, goal-oriented, focused. Answer the questions while staying in strict accordance with the nature of this identity.",1,2,3.2,5,3.25,4.33,1.5,275.94,15.33333333
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,instruct-lg,self-regulation3,2,"Adopt to the identity of disciplined, goal-oriented, focused. Answer the questions while staying in strict accordance with the nature of this identity.",1,3,3.5,5,2.75,4.11,1.5,275.31,15.55555556
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,instruct-lg,self-regulation3,3,"Adopt to the identity of disciplined, organized, focused. Answer the questions while staying in strict accordance with the nature of this identity.",0.3,1,3.2,5,3,4.56,1.5,270.9,14.55555556
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,instruct-lg,self-regulation3,3,"Adopt to the identity of disciplined, organized, focused. Answer the questions while staying in strict accordance with the nature of this identity.",0.3,2,3.2,5,3,4.56,1.5,272.79,15.59259259
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,instruct-lg,self-regulation3,3,"Adopt to the identity of disciplined, organized, focused. Answer the questions while staying in strict accordance with the nature of this identity.",0.3,3,3.1,5,3,4.22,1.5,275.31,15.2962963
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,instruct-lg,self-regulation3,3,"Adopt to the identity of disciplined, organized, focused. Answer the questions while staying in strict accordance with the nature of this identity.",0.7,1,3.3,5,2.62,4.33,1.5,272.79,14.66666667
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,instruct-lg,self-regulation3,3,"Adopt to the identity of disciplined, organized, focused. Answer the questions while staying in strict accordance with the nature of this identity.",0.7,2,3.3,5,3,4.33,1.5,272.16,16.11111111
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,instruct-lg,self-regulation3,3,"Adopt to the identity of disciplined, organized, focused. Answer the questions while staying in strict accordance with the nature of this identity.",0.7,3,3.2,5,2.62,4.33,1.5,274.05,15.55555556
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,instruct-lg,self-regulation3,3,"Adopt to the identity of disciplined, organized, focused. Answer the questions while staying in strict accordance with the nature of this identity.",1,1,3.4,5,3,4.11,1.5,270.9,15.22222222
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,instruct-lg,self-regulation3,3,"Adopt to the identity of disciplined, organized, focused. Answer the questions while staying in strict accordance with the nature of this identity.",1,2,3.1,5,3,4.44,1.5,272.79,16.07407407
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,instruct-lg,self-regulation3,3,"Adopt to the identity of disciplined, organized, focused. Answer the questions while staying in strict accordance with the nature of this identity.",1,3,3.6,5,2.62,4.56,1.62,275.31,14.37037037
